answer_Q1,answer_Q2,answer_Q3,answer_Q4,answer_Q5,respondent_age,respondent_gender,respondent_occupation
1,1,9,difference-honoring feminism,yes,31,female,data analyst
1,1,8,difference-denying feminism,no,32,female,dental hygienist
1,1,10,difference-denying feminism,no,29,female,accountant
1,1,5,difference-removing feminism,no,33,male,uber driver
2,2,5,difference-denying feminism,no,21,male,student
1,1,10,difference-denying feminism,yes,58,female,life-nurturer
1,1,8,difference-denying feminism,no,38,male,lead data specialist
1,1,7,difference-removing feminism,no,36,male,uber driver
3,2,8,difference-honoring feminism,no,23,male,student
2,3,8,difference-denying feminism,no,23,male,student